0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,100,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,0,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,0,100,100,100,100,100,100,100,100,100
100,100,100,100,100,0,0,100,100,100,100,100,100,100,100
100,100,100,100,100,100,0,0,100,100,100,100,100,100,100
100,100,100,100,100,100,100,0,0,100,100,100,100,100,100
100,100,100,100,100,100,100,100,0,0,100,100,100,100,100
100,100,100,100,100,100,100,100,100,0,0,100,100,100,100
11,100,100,100,100,100,100,100,100,100,0,0,100,100,100
100,9,9,100,100,100,100,100,100,100,100,100,0,100,100
6,6,1,0,0,0,0,0,0,0,0,0,100,100,100
100,5,6,7,8,9,100,100,100,100,100,100,0,100,0
