0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4,6,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
3,100,10,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
3,14,100,100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
3,6,15,100,100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
2,4,7,100,100,100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
2,4,5,8,100,100,100,10000,10000,10000,10000,10000,10000,10000,10000,10000
2,3,5,6,9,100,100,100,10000,10000,10000,10000,10000,10000,10000,10000
2,3,4,5,7,10,100,100,100,10000,10000,10000,10000,10000,10000,10000
2,3,4,5,6,8,10,100,100,100,10000,10000,10000,10000,10000,10000
2,3,4,5,6,7,9,11,100,100,100,10000,10000,10000,10000,10000
2,3,4,5,6,7,8,10,12,100,100,100,10000,10000,10000,10000
2,3,4,5,6,7,8,9,11,12,100,100,100,10000,10000,10000
2,3,4,5,6,7,8,9,10,11,13,100,100,100,10000,10000
2,3,4,5,6,7,8,9,10,11,12,14,100,100,100,10000
2,3,4,5,6,7,8,9,10,11,12,13,15,100,100,100
